frame,emotion
2062,fear
2063,fear
2064,fear
2065,fear
2066,fear
2067,fear
2068,fear
2069,fear
2070,fear
2071,fear
2072,fear
2073,fear
2074,fear
2075,fear
2076,fear
2077,fear
2078,fear
2079,fear
2080,fear
2081,fear
2082,neutral
2083,fear
2084,fear
2085,fear
2086,fear
2087,fear
2088,fear
2089,fear
2090,fear
2091,neutral
2092,neutral
2093,neutral
2094,neutral
2095,neutral
2096,neutral
2097,neutral
2098,neutral
2099,neutral
2100,neutral
2101,neutral
2102,neutral
2103,neutral
2104,neutral
2105,neutral
2106,neutral
2107,neutral
2108,fear
2109,neutral
2110,neutral
2111,neutral
2112,neutral
2113,neutral
2114,fear
2115,fear
2116,fear
2117,fear
2118,fear
2119,fear
2120,neutral
2121,happy
2122,happy
2123,happy
2124,neutral
2125,neutral
2126,fear
2127,fear
2128,fear
2129,fear
2130,fear
2131,fear
2132,fear
2133,fear
2134,sad
2135,sad
2136,neutral
2137,neutral
2138,sad
2139,sad
2140,neutral
2141,neutral
2142,sad
2143,sad
2144,neutral
2145,neutral
2146,fear
2147,fear
2148,fear
2149,fear
2150,fear
2151,fear
2152,fear
2153,fear
2154,fear
2155,fear
2156,fear
2157,fear
2158,fear
2159,fear
2160,fear
2161,fear
2162,fear
2163,fear
2164,fear
2165,fear
2166,fear
2167,fear
2168,fear
2169,fear
2170,fear
2171,fear
2172,fear
2173,fear
2174,fear
2175,fear
2176,fear
2177,fear
2178,fear
2179,fear
2180,fear
2181,fear
2182,fear
2183,fear
2184,fear
2185,fear
2186,fear
2187,fear
2188,fear
2189,fear
2190,fear
2191,fear
2192,fear
2193,fear
2194,fear
2195,fear
2196,fear
2197,fear
2198,fear
2199,fear
2200,fear
2201,fear
2202,fear
2203,fear
2204,fear
2205,fear
2206,fear
2207,fear
2208,fear
2209,fear
2210,fear
2211,fear
2212,fear
2213,fear
2214,fear
2215,fear
2216,fear
2217,fear
2218,fear
2219,fear
2220,fear
2221,fear
2222,fear
2223,fear
2224,fear
2225,fear
2226,fear
2227,fear
2228,fear
2229,fear
2230,fear
2231,happy
2232,neutral
2233,neutral
2234,neutral
2235,neutral
2236,neutral
2237,neutral
2238,neutral
2239,fear
2240,fear
2241,fear
2242,neutral
2243,neutral
2244,neutral
2245,neutral
2246,neutral
2247,neutral
2248,neutral
2249,fear
2250,neutral
2251,neutral
2252,neutral
2253,neutral
2254,neutral
2255,neutral
2256,neutral
2257,neutral
2258,neutral
2259,neutral
2260,neutral
2261,neutral
2262,neutral
2263,neutral
2264,neutral
2265,neutral
2266,neutral
2267,neutral
2268,neutral
2269,neutral
2270,neutral
2271,neutral
2272,neutral
2273,neutral
2274,neutral
2275,neutral
2276,neutral
2277,neutral
2278,neutral
2279,neutral
2280,neutral
2281,neutral
2282,neutral
2283,neutral
2284,neutral
2285,neutral
2286,neutral
2287,neutral
2288,neutral
2289,neutral
2290,neutral
2291,neutral
2292,neutral
2293,neutral
2294,neutral
2295,neutral
2296,neutral
2297,neutral
2298,neutral
2299,neutral
2300,neutral
2301,neutral
2302,neutral
2303,neutral
2304,neutral
2305,neutral
2306,neutral
2307,neutral
2308,neutral
2309,neutral
2310,neutral
2311,neutral
2312,neutral
2313,neutral
2314,neutral
2315,happy
2316,fear
2317,fear
2318,fear
2319,fear
2320,fear
2321,fear
2322,fear
2323,fear
2324,fear
2325,fear
2326,fear
2327,fear
2328,fear
2329,fear
2330,fear
2331,fear
2332,fear
2333,fear
2334,fear
2335,fear
2336,fear
2337,fear
2338,fear
